annual,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,geojson,geom
7.852,7.129,6.883,7.309,7.686,7.48,7.193,8.071,7.81,8.705,9.182,8.847,7.94,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.8768005371094,-24.740430831909],[-66.2249832153321,-24.8189392089842],[-66.3099365234375,-24.5029602050779],[-65.963752746582,-24.4251899719237],[-65.8768005371094,-24.740430831909]]]]}",0106000020E61000000100000001030000000100000005000000020000801D7850C0D4FFFFDF8CBD38C002000020668E50C0CCFFFFFFA5D138C000000000D69350C0C6FFFFFFC18038C000000020AE7D50C0D2FFFF3FD96C38C0020000801D7850C0D4FFFFDF8CBD38C0
5.709,5.316,4.789,4.904,4.866,5.552,5.519,6.458,6.195,6.63,6.541,6.205,5.537,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.69970703125,-25.3738708496092],[-66.0519104003907,-25.4539203643797],[-66.1389770507813,-25.1359291076658],[-65.788818359375,-25.0566596984861],[-65.69970703125,-25.3738708496092]]]]}",0106000020E6100000010000000103000000010000000500000002000000C86C50C0CAFFFFFFB55F39C002000080528350C0C6FFFF1F347439C002000000E58850C0CAFFFF3FCC2239C0FEFFFFFF7B7250C0C4FFFF3F810E39C002000000C86C50C0CAFFFFFFB55F39C0
8.085,8.087,7.72,7.891,8.01,7.589,7.051,7.711,7.504,8.369,9.127,9.167,8.794,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.0519104003907,-25.4539203643797],[-66.4051513671875,-25.5320701599119],[-66.4901962280274,-25.2133293151853],[-66.1389770507813,-25.1359291076658],[-66.0519104003907,-25.4539203643797]]]]}",0106000020E6100000010000000103000000010000000500000002000080528350C0C6FFFF1F347439C002000000EE9950C0C6FFFFBF358839C0020000605F9F50C0C0FFFFBF9C3639C002000000E58850C0CAFFFF3FCC2239C002000080528350C0C6FFFF1F347439C0
7.013,6.896,6.423,6.42,6.636,6.537,6.352,7.098,6.943,7.559,7.95,7.698,7.646,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.6095581054688,-25.6920795440672],[-65.963752746582,-25.7728996276854],[-66.0519104003907,-25.4539203643797],[-65.69970703125,-25.3738708496092],[-65.6095581054688,-25.6920795440672]]]]}",0106000020E6100000010000000103000000010000000500000000000000036750C0CEFFFF1F2CB139C000000020AE7D50C0CCFFFFBFDCC539C002000080528350C0C6FFFF1F347439C002000000C86C50C0CAFFFFFFB55F39C000000000036750C0CEFFFF1F2CB139C0
8.165,6.804,6.711,7.103,8.373,8.762,7.97,8.807,8.825,9.098,9.272,8.688,7.574,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.963752746582,-21.7900104522703],[-66.2930297851562,-21.8654994964598],[-66.3729934692383,-21.5599708557127],[-66.0454711914062,-21.485189437866],[-65.963752746582,-21.7900104522703]]]]}",0106000020E6100000010000000103000000010000000500000000000020AE7D50C0CAFFFF1F3ECA35C0FEFFFFFFC09250C0D8FFFF5F91DD35C002000020DF9750C0D2FFFF3F5A8F35C000000000E98250C0C2FFFF5F357C35C000000020AE7D50C0CAFFFF1F3ECA35C0
7.008,5.816,5.367,5.789,6.859,7.597,7.12,7.957,7.696,7.82,7.925,7.664,6.488,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.5509567260742,-22.0179290771483],[-65.8810729980469,-22.0958309173582],[-65.963752746582,-21.7900104522703],[-65.6354370117188,-21.7128391265867],[-65.5509567260742,-22.0179290771483]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFDF426350C0D4FFFFFF960436C000000080637850C0C4FFFF5F881836C000000020AE7D50C0CAFFFF1F3ECA35C002000000AB6850C0C4FFFF9F7CB635C0FEFFFFDF426350C0D4FFFFFF960436C0
8.101,7.022,6.899,7.168,8.273,8.606,7.866,8.648,8.567,8.853,9.004,8.567,7.739,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.8810729980469,-22.0958309173582],[-66.212158203125,-22.172029495239],[-66.2930297851562,-21.8654994964598],[-65.963752746582,-21.7900104522703],[-65.8810729980469,-22.0958309173582]]]]}",0106000020E6100000010000000103000000010000000500000000000080637850C0C4FFFF5F881836C0FEFFFFFF938D50C0C4FFFF1F0A2C36C0FEFFFFFFC09250C0D8FFFF5F91DD35C000000020AE7D50C0CAFFFF1F3ECA35C000000080637850C0C4FFFF5F881836C0
7.092,5.926,5.575,5.933,7.063,7.69,7.146,7.98,7.799,7.998,7.968,7.479,6.556,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.7974472045899,-22.4026393890379],[-66.1303100585937,-22.4795494079588],[-66.212158203125,-22.172029495239],[-65.8810729980469,-22.0958309173582],[-65.7974472045899,-22.4026393890379]]]]}",0106000020E6100000010000000103000000010000000500000002000060097350C0C6FFFF5F136736C0FEFFFFFF568850C0C6FFFFBFC37A36C0FEFFFFFF938D50C0C4FFFF1F0A2C36C000000080637850C0C4FFFF5F881836C002000060097350C0C6FFFF5F136736C0
8.031,7.289,6.888,7.297,8.189,8.296,7.532,8.575,8.377,8.739,8.944,8.45,7.803,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.7128295898438,-22.7104301452635],[-66.0475234985352,-22.7880706787107],[-66.1303100585937,-22.4795494079588],[-65.7974472045899,-22.4026393890379],[-65.7128295898438,-22.7104301452635]]]]}",0106000020E61000000100000001030000000100000005000000000000009F6D50C0C4FFFFBFDEB536C0020000A00A8350C0C8FFFFFFBEC936C0FEFFFFFF568850C0C6FFFFBFC37A36C002000060097350C0C6FFFF5F136736C0000000009F6D50C0C4FFFFBFDEB536C0
8.512,7.835,7.457,7.976,8.825,8.799,7.994,8.841,8.874,9.278,9.471,8.685,8.12,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.0475234985352,-22.7880706787107],[-66.3831787109375,-22.8639793395994],[-66.4641418457031,-22.5547409057615],[-66.1303100585937,-22.4795494079588],[-66.0475234985352,-22.7880706787107]]]]}",0106000020E61000000100000001030000000100000005000000020000A00A8350C0C8FFFFFFBEC936C000000000869850C0C6FFFFBF2DDD36C000000080B49D50C0D0FFFF7F038E36C0FEFFFFFF568850C0C6FFFFBFC37A36C0020000A00A8350C0C8FFFFFFBEC936C0
