annual,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,geojson,geom
5.761,7.091,6.684,5.86,5.091,4.508,4.166,4.687,5.212,5.768,6.598,6.821,6.646,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.3148193359374,-28.0334701538084],[-65.6851806640625,-28.1179790496825],[-65.7792434692383,-27.791269302368],[-65.4110717773437,-27.7075901031493],[-65.3148193359374,-28.0334701538084]]]]}",0106000020E61000000100000001030000000100000005000000FCFFFFFF255450C0C8FFFF7F91083CC000000000DA6B50C0D8FFFFDF331E3CC002000020DF7150C0C4FFFF9F90CA3BC0FEFFFFFF4E5A50C0D2FFFF9F24B53BC0FCFFFFFF255450C0C8FFFF7F91083CC0
6.689,7.718,7.097,6.715,6.359,5.533,5.518,5.666,6.107,6.792,7.734,7.618,7.419,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.7792434692383,-27.791269302368],[-66.1485595703125,-27.8729190826414],[-66.2391967773438,-27.5464000701902],[-65.8720703125,-27.4655399322508],[-65.7792434692383,-27.791269302368]]]]}",0106000020E6100000010000000103000000010000000500000002000020DF7150C0C4FFFF9F90CA3BC000000000828950C0C8FFFF9F77DF3BC0020000004F8F50C0CCFFFFDFE08B3BC0FEFFFFFFCF7750C0D0FFFF9F2D773BC002000020DF7150C0C4FFFF9F90CA3BC0
5.923,6.978,6.229,5.874,5.77,4.87,4.839,5.03,5.321,6.077,6.686,6.994,6.414,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.6851806640625,-28.1179790496825],[-66.0567626953125,-28.2004508972166],[-66.1485595703125,-27.8729190826414],[-65.7792434692383,-27.791269302368],[-65.6851806640625,-28.1179790496825]]]]}",0106000020E6100000010000000103000000010000000500000000000000DA6B50C0D8FFFFDF331E3CC002000000A28350C0C6FFFFBF50333CC000000000828950C0C8FFFF9F77DF3BC002000020DF7150C0C4FFFF9F90CA3BC000000000DA6B50C0D8FFFFDF331E3CC0
7.041,8.296,7.819,6.977,6.54,5.643,5.463,5.692,6.053,6.981,8.028,8.543,8.46,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.0567626953125,-28.2004508972166],[-66.429573059082,-28.2808609008787],[-66.5190963745117,-27.9525394439695],[-66.1485595703125,-27.8729190826414],[-66.0567626953125,-28.2004508972166]]]]}",0106000020E6100000010000000103000000010000000500000002000000A28350C0C6FFFFBF50333CC0FEFFFF1F7E9B50C0CAFFFF7FE6473CC0020000E038A150C0C4FFFF9FD9F33BC000000000828950C0C8FFFF9F77DF3BC002000000A28350C0C6FFFFBF50333CC0
5.68,6.859,6.153,5.537,5.271,4.517,4.52,4.788,5.043,5.718,6.499,6.86,6.4,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.5898971557617,-28.4456691741941],[-65.963752746582,-28.5289592742918],[-66.0567626953125,-28.2004508972166],[-65.6851806640625,-28.1179790496825],[-65.5898971557617,-28.4456691741941]]]]}",0106000020E61000000100000001030000000100000005000000000000E0C06550C0C0FFFF5F17723CC000000020AE7D50C0CAFFFFDF69873CC002000000A28350C0C6FFFFBF50333CC000000000DA6B50C0D8FFFFDF331E3CC0000000E0C06550C0C0FFFF5F17723CC0
6.245,7.312,6.59,6.175,6.159,4.981,5.012,5.168,5.492,6.355,7.154,7.469,7.081,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.963752746582,-28.5289592742918],[-66.3388366699219,-28.6101703643797],[-66.429573059082,-28.2808609008787],[-66.0567626953125,-28.2004508972166],[-65.963752746582,-28.5289592742918]]]]}",0106000020E6100000010000000103000000010000000500000000000020AE7D50C0CAFFFFDF69873CC000000080AF9550C0D8FFFF1F349C3CC0FEFFFF1F7E9B50C0CAFFFF7FE6473CC002000000A28350C0C6FFFFBF50333CC000000020AE7D50C0CAFFFFDF69873CC0
5.402,6.632,6.139,5.23,4.946,4.26,4.122,4.441,4.665,5.344,6.297,6.622,6.132,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.4933471679687,-28.7743396759031],[-65.8695068359375,-28.8584709167478],[-65.963752746582,-28.5289592742918],[-65.5898971557617,-28.4456691741941],[-65.4933471679687,-28.7743396759031]]]]}",0106000020E61000000100000001030000000100000005000000FCFFFFFF925F50C0CAFFFF1F3BC63CC0FEFFFFFFA57750C0C2FFFFBFC4DB3CC000000020AE7D50C0CAFFFFDF69873CC0000000E0C06550C0C0FFFF5F17723CC0FCFFFFFF925F50C0CAFFFF1F3BC63CC0
6.818,7.546,7.335,6.3,6.543,5.848,5.48,5.722,6.212,7.073,7.957,8.156,7.648,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.8908081054688,-28.0300903320311],[-67.2636108398438,-28.1055698394774],[-67.3474426269531,-27.776750564575],[-66.9769287109375,-27.7020092010496],[-66.8908081054688,-28.0300903320311]]]]}",0106000020E610000001000000010300000001000000050000000000000003B950C0D6FFFFFFB3073CC000000000DFD050C0D4FFFF9F061B3CC0000000803CD650C0D6FFFF1FD9C63BC00000000086BE50C0C4FFFFDFB6B33BC00000000003B950C0D6FFFFFFB3073CC0
6.825,7.514,7.369,6.451,6.511,5.773,5.436,5.64,6.217,6.974,7.986,8.284,7.755,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.8035278320312,-28.3591804504393],[-67.1786499023438,-28.4354190826414],[-67.2636108398438,-28.1055698394774],[-66.8908081054688,-28.0300903320311],[-66.8035278320312,-28.3591804504393]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFF6CB350C0D0FFFF3FF35B3CC0020000006FCB50C0CEFFFF9F776F3CC000000000DFD050C0D4FFFF9F061B3CC00000000003B950C0D6FFFFFFB3073CC0FEFFFFFF6CB350C0D0FFFF3FF35B3CC0
6.692,7.394,6.795,6.236,6.469,5.597,5.517,5.655,6.243,6.955,7.916,8.038,7.496,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.7151489257812,-28.6892890930174],[-67.0925903320312,-28.7662906646726],[-67.1786499023438,-28.4354190826414],[-66.8035278320312,-28.3591804504393],[-66.7151489257812,-28.6892890930174]]]]}",0106000020E6100000010000000103000000010000000500000000000000C5AD50C0C2FFFF3F75B03CC0FEFFFFFFECC550C0C0FFFF9F2BC43CC0020000006FCB50C0CEFFFF9F776F3CC0FEFFFFFF6CB350C0D0FFFF3FF35B3CC000000000C5AD50C0C2FFFF3F75B03CC0
6.686,7.439,7.153,6.263,6.373,5.674,5.398,5.663,6.035,6.895,7.865,7.978,7.5,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.0925903320312,-28.7662906646726],[-67.47119140625,-28.8411598205565],[-67.5549011230469,-28.5095500946043],[-67.1786499023438,-28.4354190826414],[-67.0925903320312,-28.7662906646726]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFFECC550C0C0FFFF9F2BC43CC0FEFFFFFF27DE50C0CEFFFF3F56D73CC00200008083E350C0D6FFFFDF71823CC0020000006FCB50C0CEFFFF9F776F3CC0FEFFFFFFECC550C0C0FFFF9F2BC43CC0
7.761,8.586,8.224,7.303,7.475,6.613,6.498,6.531,7.097,7.987,8.975,9.231,8.613,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.6075134277344,-27.6252307891844],[-66.9769287109375,-27.7020092010496],[-67.0619506835937,-27.3749599456786],[-66.6947631835938,-27.2989196777341],[-66.6075134277344,-27.6252307891844]]]]}",0106000020E6100000010000000103000000010000000500000002000080E1A650C0C2FFFF1F0FA03BC00000000086BE50C0C4FFFFDFB6B33BC0FCFFFFFFF6C350C0D4FFFF5FFD5F3BC00200000077AC50C0C0FFFFFF854C3BC002000080E1A650C0C2FFFF1F0FA03BC0
7.954,8.592,8.042,7.593,7.789,6.938,6.739,6.729,7.365,8.572,9.191,9.401,8.506,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.9769287109375,-27.7020092010496],[-67.3474426269531,-27.776750564575],[-67.4302062988281,-27.4489498138426],[-67.0619506835937,-27.3749599456786],[-66.9769287109375,-27.7020092010496]]]]}",0106000020E610000001000000010300000001000000050000000000000086BE50C0C4FFFFDFB6B33BC0000000803CD650C0D6FFFF1FD9C63BC00000008088DB50C0D0FFFF5FEE723BC0FCFFFFFFF6C350C0D4FFFF5FFD5F3BC00000000086BE50C0C4FFFFDFB6B33BC0
7.145,8.316,7.903,6.927,6.595,5.83,5.449,5.74,6.126,7.084,8.208,8.92,8.651,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.3388366699219,-28.6101703643797],[-66.7151489257812,-28.6892890930174],[-66.8035278320312,-28.3591804504393],[-66.429573059082,-28.2808609008787],[-66.3388366699219,-28.6101703643797]]]]}",0106000020E6100000010000000103000000010000000500000000000080AF9550C0D8FFFF1F349C3CC000000000C5AD50C0C2FFFF3F75B03CC0FEFFFFFF6CB350C0D0FFFF3FF35B3CC0FEFFFF1F7E9B50C0CAFFFF7FE6473CC000000080AF9550C0D8FFFF1F349C3CC0
7.774,8.865,8.242,7.653,7.556,6.743,6.308,6.588,6.958,7.78,8.931,9.022,8.648,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.2391967773438,-27.5464000701902],[-66.6075134277344,-27.6252307891844],[-66.6947631835938,-27.2989196777341],[-66.3286972045898,-27.2208690643308],[-66.2391967773438,-27.5464000701902]]]]}",0106000020E61000000100000001030000000100000005000000020000004F8F50C0CCFFFFDFE08B3BC002000080E1A650C0C2FFFF1F0FA03BC00200000077AC50C0C0FFFFFF854C3BC0FEFFFF5F099550C0C2FFFFDF8A383BC0020000004F8F50C0CCFFFFDFE08B3BC0
7.378,8.671,8.477,7.278,6.958,6.245,5.607,6.018,6.208,7.166,8.473,8.791,8.646,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.1485595703125,-27.8729190826414],[-66.5190963745117,-27.9525394439695],[-66.6075134277344,-27.6252307891844],[-66.2391967773438,-27.5464000701902],[-66.1485595703125,-27.8729190826414]]]]}",0106000020E6100000010000000103000000010000000500000000000000828950C0C8FFFF9F77DF3BC0020000E038A150C0C4FFFF9FD9F33BC002000080E1A650C0C2FFFF1F0FA03BC0020000004F8F50C0CCFFFFDFE08B3BC000000000828950C0C8FFFF9F77DF3BC0
7.403,8.54,8.264,6.944,7.028,6.295,5.716,6.069,6.436,7.432,8.563,9.001,8.556,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.5190963745117,-27.9525394439695],[-66.8908081054688,-28.0300903320311],[-66.9769287109375,-27.7020092010496],[-66.6075134277344,-27.6252307891844],[-66.5190963745117,-27.9525394439695]]]]}",0106000020E61000000100000001030000000100000005000000020000E038A150C0C4FFFF9FD9F33BC00000000003B950C0D6FFFFFFB3073CC00000000086BE50C0C4FFFFDFB6B33BC002000080E1A650C0C2FFFF1F0FA03BC0020000E038A150C0C4FFFF9FD9F33BC0
6.63,7.296,7.095,6.327,6.278,5.493,5.293,5.524,6.007,6.719,7.755,8.117,7.666,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.429573059082,-28.2808609008787],[-66.8035278320312,-28.3591804504393],[-66.8908081054688,-28.0300903320311],[-66.5190963745117,-27.9525394439695],[-66.429573059082,-28.2808609008787]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFF1F7E9B50C0CAFFFF7FE6473CC0FEFFFFFF6CB350C0D0FFFF3FF35B3CC00000000003B950C0D6FFFFFFB3073CC0020000E038A150C0C4FFFF9FD9F33BC0FEFFFF1F7E9B50C0CAFFFF7FE6473CC0
7.099,7.852,7.535,6.684,6.849,6.119,5.764,6.009,6.479,7.354,8.265,8.373,7.906,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.2636108398438,-28.1055698394774],[-67.6375122070312,-28.1789608001707],[-67.7190628051758,-27.8494091033934],[-67.3474426269531,-27.776750564575],[-67.2636108398438,-28.1055698394774]]]]}",0106000020E6100000010000000103000000010000000500000000000000DFD050C0D4FFFF9F061B3CC0FEFFFFFFCCE850C0CAFFFF5FD02D3CC0FEFFFF1F05EE50C0D4FFFFDF72D93BC0000000803CD650C0D6FFFF1FD9C63BC000000000DFD050C0D4FFFF9F061B3CC0
7.609,8.258,7.734,7.339,7.606,6.528,6.409,6.561,7.166,8.078,8.707,8.8,8.125,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.6375122070312,-28.1789608001707],[-68.0124816894531,-28.2502498626707],[-68.0917129516602,-27.9199905395506],[-67.7190628051758,-27.8494091033934],[-67.6375122070312,-28.1789608001707]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFFCCE850C0CAFFFF5FD02D3CC0FEFFFF7FCC0051C0D6FFFF5F10403CC0020000A0DE0551C0CAFFFF7F84EB3BC0FEFFFF1F05EE50C0D4FFFFDF72D93BC0FEFFFFFFCCE850C0CAFFFF5FD02D3CC0
6.929,7.609,7.461,6.495,6.604,5.886,5.542,5.884,6.316,7.117,8.068,8.338,7.835,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.1786499023438,-28.4354190826414],[-67.5549011230469,-28.5095500946043],[-67.6375122070312,-28.1789608001707],[-67.2636108398438,-28.1055698394774],[-67.1786499023438,-28.4354190826414]]]]}",0106000020E61000000100000001030000000100000005000000020000006FCB50C0CEFFFF9F776F3CC00200008083E350C0D6FFFFDF71823CC0FEFFFFFFCCE850C0CAFFFF5FD02D3CC000000000DFD050C0D4FFFF9F061B3CC0020000006FCB50C0CEFFFF9F776F3CC0
7.171,7.736,7.097,6.738,7.168,6.147,6.038,6.285,6.689,7.633,8.371,8.386,7.775,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.5549011230469,-28.5095500946043],[-67.9322509765625,-28.5815601348876],[-68.0124816894531,-28.2502498626707],[-67.6375122070312,-28.1789608001707],[-67.5549011230469,-28.5095500946043]]]]}",0106000020E610000001000000010300000001000000050000000200008083E350C0D6FFFFDF71823CC002000000AAFB50C0D8FFFF1FE1943CC0FEFFFF7FCC0051C0D6FFFF5F10403CC0FEFFFFFFCCE850C0CAFFFF5FD02D3CC00200008083E350C0D6FFFFDF71823CC0
9.107,11.539,10.555,9.896,9.266,7.358,6.639,6.473,7.283,8.583,10.148,10.781,10.774,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.111328125,-26.2172698974607],[-68.4727783203125,-26.2844505310057],[-68.5461120605469,-25.9605007171629],[-68.1868591308594,-25.8939800262449],[-68.111328125,-26.2172698974607]]]]}",0106000020E6100000010000000103000000010000000500000000000000200751C0C2FFFFFF9E373AC000000000421E51C0CCFFFFBFD1483AC000000080F32251C0C4FFFF5FE3F539C000000080F50B51C0D0FFFFDFDBE439C000000000200751C0C2FFFFFF9E373AC0
7.825,11.557,10.221,9.224,8.091,5.355,4.802,4.243,5.394,6.643,7.952,9.845,10.58,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.9135665893555,-27.7243003845213],[-69.2868728637695,-27.7879199981687],[-69.3571166992188,-27.4577999114988],[-68.9861831665039,-27.3948192596433],[-68.9135665893555,-27.7243003845213]]]]}",0106000020E61000000100000001030000000100000005000000000000E0773A51C0CAFFFFBF6BB93BC0FCFFFF1F5C5251C0C0FFFF1FB5C93BC000000000DB5651C0CCFFFF5F32753BC0FEFFFF9F1D3F51C0C2FFFFDF12653BC0000000E0773A51C0CAFFFFBF6BB93BC0
8.155,11.29,9.946,9.417,8.577,5.988,5.418,4.905,5.998,7.326,8.643,9.901,10.453,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.6161499023438,-27.3297595977782],[-68.9861831665039,-27.3948192596433],[-69.0578002929687,-27.0664005279539],[-68.6900634765624,-27.0019798278807],[-68.6161499023438,-27.3297595977782]]]]}",0106000020E61000000100000001030000000100000005000000020000006F2751C0D6FFFF1F6B543BC0FEFFFF9F1D3F51C0C2FFFFDF12653BC0FCFFFFFFB24351C0C8FFFF9FFF103BC0FCFFFFFF292C51C0C8FFFFBF81003BC0020000006F2751C0D6FFFF1F6B543BC0
8.152,11.208,10.026,9.487,8.457,5.966,5.367,4.885,5.947,7.187,8.861,10.006,10.427,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.541259765625,-27.6585903167723],[-68.9135665893555,-27.7243003845213],[-68.9861831665039,-27.3948192596433],[-68.6161499023438,-27.3297595977782],[-68.541259765625,-27.6585903167723]]]]}",0106000020E6100000010000000103000000010000000500000002000000A42251C0D6FFFF5F99A83BC0000000E0773A51C0CAFFFFBF6BB93BC0FEFFFF9F1D3F51C0C2FFFFDF12653BC0020000006F2751C0D6FFFF1F6B543BC002000000A42251C0D6FFFF5F99A83BC0
8.903,12.024,10.544,9.945,9.18,6.923,6.129,5.456,6.378,7.961,9.98,10.995,11.332,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4727783203125,-26.2844505310057],[-68.8351135253907,-26.3496208190916],[-68.9062805175781,-26.0250396728514],[-68.5461120605469,-25.9605007171629],[-68.4727783203125,-26.2844505310057]]]]}",0106000020E6100000010000000103000000010000000500000000000000421E51C0CCFFFFBFD1483AC002000080723551C0D6FFFFBF80593AC0FEFFFF7F003A51C0CAFFFFFF68063AC000000080F32251C0C4FFFF5FE3F539C000000000421E51C0CCFFFFBFD1483AC0
8.554,11.788,10.215,9.841,8.953,6.48,5.667,5.125,6.101,7.44,9.382,10.686,10.975,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.3984985351563,-26.6094493865965],[-68.7630615234375,-26.6752700805662],[-68.8351135253907,-26.3496208190916],[-68.4727783203125,-26.2844505310057],[-68.3984985351563,-26.6094493865965]]]]}",0106000020E6100000010000000103000000010000000500000002000000811951C0D6FFFFDF049C3AC000000000D63051C0CEFFFF7FDEAC3AC002000080723551C0D6FFFFBF80593AC000000000421E51C0CCFFFFBFD1483AC002000000811951C0D6FFFFDF049C3AC0
8.341,11.373,9.834,9.52,8.759,6.244,5.583,5.16,6.085,7.495,9.196,10.208,10.64,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.3232727050782,-26.9355106353758],[-68.6900634765624,-27.0019798278807],[-68.7630615234375,-26.6752700805662],[-68.3984985351563,-26.6094493865965],[-68.3232727050782,-26.9355106353758]]]]}",0106000020E6100000010000000103000000010000000500000002000080B01451C0D6FFFF9F7DEF3AC0FCFFFFFF292C51C0C8FFFFBF81003BC000000000D63051C0CEFFFF7FDEAC3AC002000000811951C0D6FFFFDF049C3AC002000080B01451C0D6FFFF9F7DEF3AC0
9.648,11.858,10.819,10.099,9.663,7.882,7.252,7.256,8.09,9.416,10.753,11.316,11.379,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.1868591308594,-25.8939800262449],[-68.5461120605469,-25.9605007171629],[-68.6185302734375,-25.6376094818113],[-68.2614135742187,-25.5717391967771],[-68.1868591308594,-25.8939800262449]]]]}",0106000020E6100000010000000103000000010000000500000000000080F50B51C0D0FFFFDFDBE439C000000080F32251C0C4FFFF5FE3F539C002000000962751C0CAFFFF5F3AA339C0FEFFFFFFBA1051C0C4FFFF7F5D9239C000000080F50B51C0D0FFFFDFDBE439C0
9.416,11.005,10.146,9.618,9.24,8.162,7.656,7.763,8.186,9.348,10.501,10.886,10.489,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.7508926391601,-26.148109436035],[-68.111328125,-26.2172698974607],[-68.1868591308594,-25.8939800262449],[-67.8285522460938,-25.8254909515379],[-67.7508926391601,-26.148109436035]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFF9F0EF050C0D6FFFF7FEA253AC000000000200751C0C2FFFFFF9E373AC000000080F50B51C0D0FFFFDFDBE439C00000000007F550C0CCFFFF5F53D339C0FEFFFF9F0EF050C0D6FFFF7FEA253AC0
8.921,11.28,10.252,9.807,8.954,7.248,6.409,6.54,7.082,8.387,9.963,10.752,10.379,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.0348815917969,-26.5416107177732],[-68.3984985351563,-26.6094493865965],[-68.4727783203125,-26.2844505310057],[-68.111328125,-26.2172698974607],[-68.0348815917969,-26.5416107177732]]]]}",0106000020E61000000100000001030000000100000005000000020000803B0251C0C0FFFFFFA68A3AC002000000811951C0D6FFFFDF049C3AC000000000421E51C0CCFFFFBFD1483AC000000000200751C0C2FFFFFF9E373AC0020000803B0251C0C0FFFFFFA68A3AC0
8.942,11.088,10.053,9.992,9.171,7.23,6.344,6.343,7.202,8.492,10.087,10.642,10.66,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.9574279785157,-26.8670005798338],[-68.3232727050782,-26.9355106353758],[-68.3984985351563,-26.6094493865965],[-68.0348815917969,-26.5416107177732],[-67.9574279785157,-26.8670005798338]]]]}",0106000020E610000001000000010300000001000000050000000200008046FD50C0C0FFFFBFF3DD3AC002000080B01451C0D6FFFF9F7DEF3AC002000000811951C0D6FFFFDF049C3AC0020000803B0251C0C0FFFFFFA68A3AC00200008046FD50C0C0FFFFBFF3DD3AC0
8.957,10.595,9.671,9.617,9.121,7.54,6.749,6.861,7.531,9.071,10.17,10.603,9.965,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.8789672851562,-27.1934299468992],[-68.2470703125,-27.2626209259032],[-68.3232727050782,-26.9355106353758],[-67.9574279785157,-26.8670005798338],[-67.8789672851562,-27.1934299468992]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFF40F850C0C8FFFF9F84313BC002000000D00F51C0D6FFFF1F3B433BC002000080B01451C0D6FFFF9F7DEF3AC00200008046FD50C0C0FFFFBFF3DD3AC0FEFFFFFF40F850C0C8FFFF9F84313BC0
7.884,10.461,9.24,9.299,8.245,5.788,5.024,5.002,5.933,7.143,8.751,9.917,9.808,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.2470703125,-27.2626209259032],[-68.6161499023438,-27.3297595977782],[-68.6900634765624,-27.0019798278807],[-68.3232727050782,-26.9355106353758],[-68.2470703125,-27.2626209259032]]]]}",0106000020E6100000010000000103000000010000000500000002000000D00F51C0D6FFFF1F3B433BC0020000006F2751C0D6FFFF1F6B543BC0FCFFFFFF292C51C0C8FFFFBF81003BC002000080B01451C0D6FFFF9F7DEF3AC002000000D00F51C0D6FFFF1F3B433BC0
8.935,10.034,9.4,9.287,9.289,7.582,7.119,7.161,7.726,9.346,10.037,10.476,9.767,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.7995300292968,-27.5209007263182],[-68.1698913574219,-27.5907802581786],[-68.2470703125,-27.2626209259032],[-67.8789672851562,-27.1934299468992],[-67.7995300292968,-27.5209007263182]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFF7F2BF350C0D0FFFFBF59853BC000000080DF0A51C0D6FFFF5F3D973BC002000000D00F51C0D6FFFF1F3B433BC0FEFFFFFF40F850C0C8FFFF9F84313BC0FEFFFF7F2BF350C0D0FFFFBF59853BC0
8.424,10.67,9.711,9.573,8.748,6.443,5.911,5.718,6.47,8.033,9.432,10.203,10.182,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.1698913574219,-27.5907802581786],[-68.541259765625,-27.6585903167723],[-68.6161499023438,-27.3297595977782],[-68.2470703125,-27.2626209259032],[-68.1698913574219,-27.5907802581786]]]]}",0106000020E6100000010000000103000000010000000500000000000080DF0A51C0D6FFFF5F3D973BC002000000A42251C0D6FFFF5F99A83BC0020000006F2751C0D6FFFF1F6B543BC002000000D00F51C0D6FFFF1F3B433BC000000080DF0A51C0D6FFFF5F3D973BC0
8.736,9.877,9.2,8.846,8.755,7.363,7.011,7.118,7.864,9.125,9.674,10.247,9.761,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.7190628051758,-27.8494091033934],[-68.0917129516602,-27.9199905395506],[-68.1698913574219,-27.5907802581786],[-67.7995300292968,-27.5209007263182],[-67.7190628051758,-27.8494091033934]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFF1F05EE50C0D4FFFFDF72D93BC0020000A0DE0551C0CAFFFF7F84EB3BC000000080DF0A51C0D6FFFF5F3D973BC0FEFFFF7F2BF350C0D0FFFFBF59853BC0FEFFFF1F05EE50C0D4FFFFDF72D93BC0
9.845,11.499,10.644,10.055,9.732,8.368,8.074,8.056,8.619,9.766,10.913,11.262,11.161,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.8285522460938,-25.8254909515379],[-68.1868591308594,-25.8939800262449],[-68.2614135742187,-25.5717391967771],[-67.9052429199219,-25.5039100646971],[-67.8285522460938,-25.8254909515379]]]]}",0106000020E610000001000000010300000001000000050000000000000007F550C0CCFFFF5F53D339C000000080F50B51C0D0FFFFDFDBE439C0FEFFFFFFBA1051C0C4FFFF7F5D9239C000000080EFF950C0D8FFFF3F008139C00000000007F550C0CCFFFF5F53D339C0
9.41,11.137,10.404,9.969,9.465,8.028,7.337,7.465,8.13,9.467,10.476,10.845,10.208,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.6722412109375,-26.4717597961424],[-68.0348815917969,-26.5416107177732],[-68.111328125,-26.2172698974607],[-67.7508926391601,-26.148109436035],[-67.6722412109375,-26.4717597961424]]]]}",0106000020E610000001000000010300000001000000050000000000000006EB50C0CEFFFF3FC5783AC0020000803B0251C0C0FFFFFFA68A3AC000000000200751C0C2FFFFFF9E373AC0FEFFFF9F0EF050C0D6FFFF7FEA253AC00000000006EB50C0CEFFFF3FC5783AC0
9.036,10.35,9.51,9.528,9.155,7.944,7.25,7.352,8.034,9.162,10.195,10.439,9.52,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.5925903320312,-26.7964591979978],[-67.9574279785157,-26.8670005798338],[-68.0348815917969,-26.5416107177732],[-67.6722412109375,-26.4717597961424],[-67.5925903320312,-26.7964591979978]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFFECE550C0C8FFFFBFE4CB3AC00200008046FD50C0C0FFFFBFF3DD3AC0020000803B0251C0C0FFFFFFA68A3AC00000000006EB50C0CEFFFF3FC5783AC0FEFFFFFFECE550C0C8FFFFBFE4CB3AC0
8.78,9.824,8.919,8.64,8.774,7.822,7.33,7.46,7.903,9.097,10.018,10.175,9.404,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.5119018554687,-27.1221904754637],[-67.8789672851562,-27.1934299468992],[-67.9574279785157,-26.8670005798338],[-67.5925903320312,-26.7964591979978],[-67.5119018554687,-27.1221904754637]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFFC2E050C0C8FFFFDF471F3BC0FEFFFFFF40F850C0C8FFFF9F84313BC00200008046FD50C0C0FFFFBFF3DD3AC0FEFFFFFFECE550C0C8FFFFBFE4CB3AC0FEFFFFFFC2E050C0C8FFFFDF471F3BC0
7.411,8.082,7.898,7.102,7.209,6.419,6.157,6.154,6.725,7.803,8.601,8.573,8.209,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.3474426269531,-27.776750564575],[-67.7190628051758,-27.8494091033934],[-67.7995300292968,-27.5209007263182],[-67.4302062988281,-27.4489498138426],[-67.3474426269531,-27.776750564575]]]]}",0106000020E61000000100000001030000000100000005000000000000803CD650C0D6FFFF1FD9C63BC0FEFFFF1F05EE50C0D4FFFFDF72D93BC0FEFFFF7F2BF350C0D0FFFFBF59853BC00000008088DB50C0D0FFFF5FEE723BC0000000803CD650C0D6FFFF1FD9C63BC0
5.215,6.31,6.37,5.073,4.076,4.166,3.82,4.879,4.851,5.043,6.006,5.849,6.148,"{""type"":""MultiPolygon"",""coordinates"":[[[[-63.6518211364746,-25.8908195495603],[-64.0041809082032,-25.9827003479002],[-64.104736328125,-25.6658802032469],[-63.7543601989746,-25.5748691558836],[-63.6518211364746,-25.8908195495603]]]]}",0106000020E61000000100000001030000000100000005000000FCFFFFDF6ED34FC0C0FFFFBF0CE439C002000080440050C0CAFFFF3F92FB39C000000000B40650C0D4FFFF1F77AA39C0000000E08EE04FC0CCFFFF9F2A9339C0FCFFFFDF6ED34FC0C0FFFFBF0CE439C0
